record_id,field_id,date,state,district,crop,crop_variety,growth_stage,crop_age_days,area_acres,soil_type,soil_ph,nitrogen,phosphorus,potassium,soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,leaf_wetness_hours,sunlight_hours,irrigation_level,previous_disease,previous_pest,disease_history,pest_history,ndvi,vegetation_health,disease,disease_probability,pest,pest_probability,severity,risk_score,risk_level,recommended_action,data_source
REC_05413,FIELD_072,2026-01-15,Telangana,Warangal,Rice,Pusa-44,Booting,90,3.3,Alluvial,6.11,106,31,41,84.4,29.7,77.2,54.6,0.79,21.5,8.9,3.1,Adequate,0,1,Moderate,High,0.646,65.9,Rice Sheath Blight,0.84,None,0.04,MEDIUM,54.9,HIGH,Apply Validamycin 3L @ 2.5ml/L; optimize plant spacing,synthetic_training_data
REC_01423,FIELD_084,2025-12-29,Karnataka,Mandya,Sugarcane,Co-86032 Sweet,Maturity,298,8.4,Alluvial Loam,7.2,107,51,55,74.5,37.2,30.7,0.0,0.39,24.5,3.9,10.5,Rainfed,0,0,Moderate,None,0.78,88.1,None,0.05,None,0.05,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_03074,FIELD_040,2026-04-25,West Bengal,Burdwan,Rice,Basmati-Super,Seedling,11,12.4,Alluvial,6.42,45,37,47,63.9,25.3,73.9,3.7,0.47,13.9,4.8,8.5,Rainfed,0,1,Moderate,High,0.497,62.9,Rice Blast,0.81,Yellow Stem Borer,0.5,MEDIUM,63.9,HIGH,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_06562,FIELD_070,2025-07-28,Maharashtra,Nashik,Tomato,Abhinav Hybrid,Fruit Maturation,91,2.6,Red Sandy,7.49,80,17,33,56.0,21.9,86.9,14.9,0.6,18.5,11.6,5.9,Deficit,0,0,Moderate,None,0.76,69.6,Tomato Late Blight,0.83,None,0.07,LOW,41.8,MEDIUM,Apply Metalaxyl + Mancozeb preventively; rogue out infected plants,synthetic_training_data
REC_04174,FIELD_034,2025-09-21,Haryana,Karnal,Rice,Basmati-Super,Milking,116,1.4,Clay,7.49,37,37,56,81.6,23.5,83.2,54.7,0.91,23.4,6.3,3.6,Excessive,0,0,None,Low,0.725,67.4,Rice Blast,0.73,None,0.13,LOW,43.2,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_03272,FIELD_060,2026-04-05,Andhra Pradesh,Guntur,Cotton,RCH-659 Hybrid,Vegetative,29,8.3,Medium Black,6.75,55,31,80,75.4,30.9,89.6,20.6,0.57,27.8,15.6,3.8,Adequate,1,0,High,Moderate,0.52,37.8,Cotton Bacterial Blight,0.98,None,0.14,HIGH,75.9,CRITICAL,Spray Copper Oxychloride 50 WP (2.5g/L) + Streptocycline (1g/10L),synthetic_training_data
REC_08404,FIELD_074,2025-11-13,West Bengal,Burdwan,Rice,Pusa-44,Milking,118,5.0,Alluvial,7.74,88,27,54,90.6,35.3,76.7,43.7,0.9,26.2,15.2,3.1,Rainfed,0,0,None,Moderate,0.65,70.6,Bacterial Leaf Blight,0.66,None,0.15,MEDIUM,49.5,MEDIUM,Apply Copper Oxychloride 50 WP with Streptomycin; ensure drainage,synthetic_training_data
REC_09375,FIELD_081,2026-02-01,Karnataka,Dharwad,Groundnut,TAG-24 Early,Flowering,50,2.1,Sandy Loam,7.05,64,50,43,55.4,28.3,72.4,1.2,0.4,15.1,2.7,9.2,Adequate,0,0,Low,None,0.828,93.0,Tikka Leaf Spot,0.72,None,0.1,LOW,30.0,LOW,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation,synthetic_training_data
REC_05035,FIELD_077,2025-12-27,Gujarat,Bhavnagar,Onion,Bhima Red,Harvesting,125,14.0,Sandy Loam,6.5,63,46,62,64.3,23.1,89.1,23.7,0.6,4.1,13.1,4.9,Deficit,0,0,Moderate,Low,0.623,80.8,Onion Purple Blotch,0.76,None,0.12,MEDIUM,51.6,MEDIUM,Spray Mancozeb 75 WP (2.5g/L) with agricultural sticker adjuvant,synthetic_training_data
REC_09081,FIELD_039,2025-11-30,West Bengal,Burdwan,Rice,Swarna Medium,Maturity,132,8.4,Clay,5.31,98,48,52,70.6,25.7,69.0,0.0,0.13,19.5,0.2,7.4,Rainfed,0,0,None,Moderate,0.877,80.6,Rice Blast,0.56,None,0.16,LOW,23.1,LOW,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_09448,FIELD_094,2026-02-18,Telangana,Khammam,Chili,Guntur Sannam,Fruit Setting,104,10.5,Red Sandy,7.75,62,29,43,83.2,24.5,85.0,33.3,0.82,15.1,14.1,3.8,Excessive,0,0,Moderate,None,0.731,72.8,Chili Anthracnose,0.66,None,0.08,MEDIUM,41.3,MEDIUM,Spray Azoxystrobin 23% SC or Difenoconazole; pick diseased pods,synthetic_training_data
REC_07412,FIELD_060,2025-11-10,Uttar Pradesh,Varanasi,Rice,Swarna Medium,Booting,84,1.4,Alluvial,6.88,44,60,46,88.2,28.5,94.4,38.1,0.91,26.4,8.4,5.7,Excessive,0,0,Moderate,None,0.6,56.4,Rice Sheath Blight,0.85,None,0.07,MEDIUM,57.8,HIGH,Apply Validamycin 3L @ 2.5ml/L; optimize plant spacing,synthetic_training_data
REC_05451,FIELD_020,2026-03-04,Uttar Pradesh,Varanasi,Rice,Pusa-44,Booting,87,11.2,Clay Loam,6.29,89,15,59,81.2,24.5,62.4,2.7,0.53,7.7,3.7,9.0,Excessive,1,0,High,Low,0.538,60.0,Rice Blast,0.91,None,0.04,MEDIUM,56.9,HIGH,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_08692,FIELD_015,2026-03-21,Gujarat,Rajkot,Cotton,Bt-Cotton-II,Square Formation,65,5.0,Deep Clay,7.08,124,42,64,56.6,36.8,84.1,11.2,0.92,18.7,9.7,5.2,Deficit,1,0,High,Low,0.523,53.9,Cotton Leaf Curl Virus,0.98,None,0.1,HIGH,60.7,HIGH,Control whitefly vectors using Diafenthiuron 50 WP; remove infected weeds,synthetic_training_data
REC_03968,FIELD_076,2025-11-16,Rajasthan,Bikaner,Chickpea,Vijay,Maturity,102,2.7,Alluvial,5.7,86,34,40,61.9,14.1,50.9,1.0,0.5,7.2,4.7,6.7,Rainfed,0,0,None,None,0.742,84.4,None,0.07,None,0.17,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_01269,FIELD_026,2026-07-05,Madhya Pradesh,Khandwa,Onion,N-53,Seedling,35,4.0,Clay Loam,7.08,49,41,65,67.7,19.9,87.1,14.7,0.7,7.9,10.6,3.8,Adequate,0,0,None,None,0.637,80.9,Onion Purple Blotch,0.7,None,0.06,LOW,35.1,MEDIUM,Spray Mancozeb 75 WP (2.5g/L) with agricultural sticker adjuvant,synthetic_training_data
REC_08446,FIELD_017,2025-09-24,Andhra Pradesh,Anantapur,Groundnut,Kadiri-6,Vegetative,26,2.4,Sandy Loam,6.06,112,62,76,65.9,34.3,84.7,11.8,0.62,6.7,8.1,6.3,Adequate,1,0,High,Low,0.526,66.8,Groundnut Collar Rot,0.98,None,0.15,HIGH,66.0,HIGH,Seed treatment with Trichoderma harzianum; avoid deep planting,synthetic_training_data
REC_06367,FIELD_097,2025-12-16,Uttar Pradesh,Agra,Potato,Kufri Pukhraj,Vegetative,35,12.1,Alluvial,6.45,76,40,26,76.7,17.7,89.5,20.4,0.82,13.6,13.2,6.2,Deficit,1,0,High,Low,0.627,61.5,Potato Late Blight,0.98,None,0.12,HIGH,70.7,HIGH,Spray Cymoxanil 8% + Mancozeb 64% WP upon morning blight advisory,synthetic_training_data
REC_02900,FIELD_096,2026-06-03,Maharashtra,Nagpur,Chili,Pusa Jwala,Harvesting,119,10.4,Black Cotton,6.03,103,42,67,27.9,23.7,50.8,0.0,0.29,10.9,2.1,6.5,Deficit,0,0,Low,Moderate,0.765,83.7,None,0.21,None,0.1,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_04638,FIELD_028,2025-10-25,Haryana,Karnal,Rice,MTU-1010,Seedling,20,6.9,Alluvial,7.03,88,36,45,85.6,21.5,75.2,31.7,0.81,27.3,13.4,3.0,Rainfed,0,0,Low,Moderate,0.744,76.6,Rice Blast,0.63,None,0.07,MEDIUM,44.2,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_06837,FIELD_055,2026-07-03,Rajasthan,Kota,Wheat,DBW-187,Milking,112,11.5,Alluvial,5.35,83,53,30,47.0,27.8,77.2,0.0,0.26,17.3,0.6,10.4,Deficit,0,0,Low,None,0.81,81.9,None,0.13,None,0.03,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09952,FIELD_028,2025-11-12,Andhra Pradesh,Chittoor,Tomato,Abhinav Hybrid,Fruit Maturation,94,4.7,Loam,6.9,54,29,45,92.8,31.0,81.8,47.4,0.97,5.7,5.6,4.6,Adequate,0,0,None,None,0.727,75.8,Tomato Leaf Curl,0.87,None,0.19,MEDIUM,49.3,MEDIUM,Manage whitefly vectors with yellow traps and Imidacloprid 17.8 SL,synthetic_training_data
REC_05989,FIELD_098,2025-12-09,Telangana,Warangal,Rice,MTU-1010,Heading,94,8.4,Alluvial,7.92,66,10,60,65.9,25.8,52.2,0.0,0.35,27.6,2.3,8.7,Adequate,0,1,Moderate,High,0.831,87.2,None,0.2,None,0.11,LOW,11.4,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_01914,FIELD_050,2026-06-29,Punjab,Ludhiana,Rice,Swarna Medium,Tillering,49,12.6,Clay Loam,8.35,36,43,44,70.5,20.2,70.8,0.0,0.03,25.1,2.4,7.2,Adequate,0,0,Moderate,Low,0.771,91.7,None,0.12,None,0.06,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_06847,FIELD_094,2026-04-28,Uttar Pradesh,Muzaffarnagar,Sugarcane,Co-86032 Sweet,Germination,40,12.7,Deep Black,7.2,79,45,68,72.5,22.0,31.3,0.0,0.23,22.7,2.1,7.7,Adequate,0,0,None,Moderate,0.733,89.8,None,0.2,None,0.08,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09433,FIELD_099,2026-01-01,Andhra Pradesh,Krishna,Rice,IR-64 High-Yield,Seedling,18,6.2,Clay,6.2,33,27,49,90.5,25.8,60.2,0.0,0.37,7.9,4.6,8.6,Excessive,0,0,Low,None,0.748,69.1,Rice Blast,0.64,None,0.15,MEDIUM,35.0,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_09787,FIELD_033,2026-03-02,Uttar Pradesh,Meerut,Wheat,WH-1105,Maturity,125,6.3,Alluvial,7.78,32,10,51,60.2,15.6,40.7,0.0,0.25,19.9,0.3,11.0,Adequate,0,1,None,High,0.745,80.1,None,0.07,None,0.1,LOW,12.6,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_04348,FIELD_062,2026-02-16,Uttar Pradesh,Varanasi,Rice,MTU-1010,Tillering,43,7.8,Alluvial,6.28,58,21,59,88.5,23.7,77.2,25.5,0.84,23.4,15.1,4.2,Deficit,0,0,Low,None,0.714,81.4,Rice Blast,0.72,None,0.04,LOW,48.4,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_00102,FIELD_091,2026-05-23,Uttar Pradesh,Agra,Potato,Kufri Jyoti,Vegetative,30,3.1,Loam,6.81,98,17,46,79.8,16.2,84.3,6.6,0.99,10.0,10.0,5.4,Excessive,0,1,None,High,0.501,35.1,Potato Late Blight,0.85,Aphids,0.86,HIGH,84.4,CRITICAL,Spray Cymoxanil 8% + Mancozeb 64% WP upon morning blight advisory Also Spray Imidacloprid 17.8 SL @ 0.4ml/L to prevent viral transmission,synthetic_training_data
REC_04307,FIELD_086,2025-09-23,Andhra Pradesh,Chittoor,Tomato,Pusa Ruby,Vegetative,44,3.0,Sandy Loam,6.52,41,41,56,82.2,19.7,63.5,3.0,0.41,24.8,1.5,9.3,Excessive,0,0,Low,None,0.873,80.1,Tomato Late Blight,0.54,None,0.13,LOW,21.0,LOW,Apply Metalaxyl + Mancozeb preventively; rogue out infected plants,synthetic_training_data
REC_05174,FIELD_085,2026-02-18,Uttar Pradesh,Meerut,Wheat,WH-1105,Jointing,62,1.5,Clay Loam,8.15,44,12,35,86.0,27.2,94.8,45.4,0.75,19.3,5.2,2.2,Adequate,1,0,High,Low,0.521,55.6,Wheat Brown Rust,0.89,None,0.05,HIGH,70.5,HIGH,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_01883,FIELD_075,2025-07-14,Madhya Pradesh,Sehore,Wheat,PBW-550 Early,Heading,79,7.2,Loam,6.65,64,39,37,40.8,20.8,47.6,0.0,0.32,7.5,4.6,9.2,Deficit,1,1,High,High,0.495,36.9,Wheat Brown Rust,0.88,Aphids,0.96,HIGH,98.5,CRITICAL,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves Also Spray Thiamethoxam 25 WG @ 0.3g/L or 5% neem extract,synthetic_training_data
REC_07401,FIELD_043,2025-08-19,Telangana,Nizamabad,Maize,Bio-9681,Tasseling,46,12.7,Sandy Loam,6.2,60,51,42,76.4,21.4,53.0,3.4,0.51,6.9,0.4,6.9,Rainfed,0,0,None,Moderate,0.78,91.3,None,0.16,None,0.07,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_02971,FIELD_079,2025-12-23,Punjab,Patiala,Wheat,HD-2967 Prime,Crown Root,28,9.2,Loam,6.23,95,36,42,44.7,26.0,67.4,0.0,0.12,23.8,2.9,9.0,Deficit,0,0,Low,None,0.656,72.8,Wheat Brown Rust,0.71,None,0.04,LOW,33.4,MEDIUM,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_05322,FIELD_066,2025-07-22,Maharashtra,Nagpur,Cotton,Bt-Cotton-II,Flowering,87,1.5,Deep Clay,7.22,23,28,39,69.2,27.0,39.9,2.1,0.5,19.6,1.0,9.3,Adequate,0,1,Low,High,0.832,93.0,None,0.14,None,0.17,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_03795,FIELD_060,2025-08-26,Madhya Pradesh,Indore,Tomato,Pusa Ruby,Fruit Setting,70,1.7,Red Sandy,7.32,83,35,63,30.2,33.6,66.3,0.0,0.04,8.2,2.3,8.7,Deficit,0,1,None,High,0.505,36.9,Tomato Leaf Curl,0.85,Fruit and Shoot Borer,0.96,HIGH,90.5,CRITICAL,Manage whitefly vectors with yellow traps and Imidacloprid 17.8 SL Also Deploy pheromone lures @ 12/ha; spray Chlorantraniliprole 18.5 SC,synthetic_training_data
REC_00803,FIELD_036,2026-07-22,Punjab,Bathinda,Cotton,RCH-659 Hybrid,Square Formation,59,1.4,Black Soil,7.05,117,29,62,82.4,37.6,82.1,26.7,0.91,5.3,14.6,3.7,Excessive,0,0,None,None,0.745,76.1,Cotton Leaf Curl Virus,0.8,None,0.16,MEDIUM,50.5,MEDIUM,Control whitefly vectors using Diafenthiuron 50 WP; remove infected weeds,synthetic_training_data
REC_03839,FIELD_013,2025-06-24,West Bengal,Burdwan,Rice,Basmati-Super,Heading,103,3.1,Clay,7.37,71,56,43,67.2,33.8,78.6,9.7,0.86,21.3,14.1,4.3,Deficit,0,1,Low,High,0.678,77.3,Bacterial Leaf Blight,0.71,None,0.02,LOW,48.1,MEDIUM,Apply Copper Oxychloride 50 WP with Streptomycin; ensure drainage,synthetic_training_data
REC_01199,FIELD_088,2025-10-20,Punjab,Ludhiana,Rice,Basmati-Super,Booting,90,3.0,Alluvial,7.21,55,29,42,56.8,32.8,41.9,0.0,0.09,8.6,1.0,8.7,Adequate,1,1,High,High,0.552,54.5,Bacterial Leaf Blight,0.8,None,0.16,HIGH,61.1,HIGH,Apply Copper Oxychloride 50 WP with Streptomycin; ensure drainage,synthetic_training_data
REC_04562,FIELD_087,2025-10-25,Madhya Pradesh,Vidisha,Chickpea,JAKI-9218,Seedling,16,11.0,Sandy Loam,7.29,95,62,70,93.9,18.0,66.0,0.0,0.38,26.1,4.1,9.2,Excessive,0,0,Moderate,None,0.695,69.9,Chickpea Fusarium Wilt,0.56,None,0.11,LOW,33.4,MEDIUM,Seed dress with Trichoderma viride; sow wilt-resistant cultivars,synthetic_training_data
REC_05087,FIELD_018,2025-09-13,Uttar Pradesh,Agra,Potato,Kufri Jyoti,Stolon Formation,48,11.2,Alluvial,5.91,20,59,77,87.7,20.0,80.5,27.8,0.75,16.1,15.9,2.5,Deficit,0,0,Low,None,0.493,67.6,Potato Black Scurf,0.85,None,0.08,MEDIUM,53.3,HIGH,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
REC_04875,FIELD_095,2026-06-21,Telangana,Warangal,Cotton,Bollgard-II,Boll Formation,107,3.5,Deep Clay,6.25,64,20,33,25.2,31.3,72.3,0.0,0.17,14.9,3.4,7.6,Deficit,0,0,Moderate,Moderate,0.503,61.9,Cotton Bacterial Blight,0.84,Pink Bollworm,0.8,MEDIUM,67.4,HIGH,Spray Copper Oxychloride 50 WP (2.5g/L) + Streptocycline (1g/10L) Also Install 5-8 pheromone traps/acre; spray Flubendiamide 39.35 SC,synthetic_training_data
REC_08254,FIELD_063,2025-06-13,Maharashtra,Kolhapur,Sugarcane,Co-98014,Germination,27,5.4,Alluvial Loam,7.7,70,45,47,79.2,32.6,87.8,7.4,0.86,6.2,10.7,4.4,Excessive,0,0,Low,None,0.638,69.0,Sugarcane Red Rot,0.81,None,0.12,LOW,39.2,MEDIUM,Rogue infected clumps; drench root zone with Trichoderma; ensure drainage,synthetic_training_data
REC_04123,FIELD_080,2025-11-29,Gujarat,Junagadh,Groundnut,GG-20 Bold,Pod Development,80,1.2,Red Sandy Loam,7.5,61,36,59,81.7,33.9,51.4,0.0,0.25,26.6,2.4,8.5,Excessive,0,0,Low,Low,0.8,86.8,None,0.08,None,0.12,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_06013,FIELD_022,2025-11-17,Karnataka,Kolar,Tomato,Pusa Ruby,Seedling,14,9.3,Red Sandy,6.72,75,38,60,85.5,23.6,65.6,1.3,0.53,7.9,3.3,7.0,Excessive,0,0,None,None,0.794,92.1,None,0.1,None,0.12,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_05472,FIELD_083,2026-06-18,West Bengal,Burdwan,Rice,Swarna Medium,Booting,86,5.5,Clay Loam,6.59,120,53,15,79.9,21.5,92.9,42.3,0.87,27.4,7.5,3.0,Adequate,0,0,None,Moderate,0.641,61.9,Rice Blast,0.86,None,0.06,HIGH,52.0,HIGH,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_06211,FIELD_059,2025-10-28,Telangana,Warangal,Cotton,Suraj,Seedling,17,1.3,Medium Black,8.26,32,50,45,57.6,32.7,71.7,0.0,0.08,24.5,4.5,6.4,Adequate,0,0,Low,Low,0.498,62.2,Cotton Leaf Curl Virus,0.74,Thrips,0.73,HIGH,60.3,HIGH,Control whitefly vectors using Diafenthiuron 50 WP; remove infected weeds Also Spray Spinosad 45 SC @ 0.3ml/L; avoid moisture stress,synthetic_training_data
REC_00891,FIELD_068,2026-07-11,Karnataka,Mandya,Sugarcane,Co-86032 Sweet,Germination,28,10.4,Clay Loam,6.97,92,26,80,54.3,23.5,44.9,2.8,0.54,27.3,1.3,7.5,Deficit,1,1,High,High,0.473,33.3,Sugarcane Smut,0.67,Termites,0.91,HIGH,90.5,CRITICAL,Remove and incinerate whips in plastic bags; dip setts in Propiconazole Also Apply Chlorpyrifos 20 EC or Fipronil 0.3% GR in furrow,synthetic_training_data
REC_03993,FIELD_091,2025-09-02,Bihar,Vaishali,Tomato,Sivaji F1,Fruit Setting,69,5.6,Loam,6.26,79,45,22,78.6,33.1,76.3,50.8,0.63,27.9,15.7,6.0,Excessive,0,0,Low,None,0.622,58.1,Tomato Leaf Curl,0.81,Fruit and Shoot Borer,0.56,HIGH,70.4,HIGH,Manage whitefly vectors with yellow traps and Imidacloprid 17.8 SL,synthetic_training_data
REC_04708,FIELD_052,2025-12-07,Maharashtra,Nagpur,Cotton,Bollgard-II,Square Formation,56,3.9,Medium Black,6.73,51,22,66,53.0,35.7,42.4,3.4,0.45,26.6,0.2,6.8,Adequate,0,0,Moderate,None,0.824,91.0,None,0.13,None,0.13,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_03291,FIELD_022,2025-07-03,Telangana,Nizamabad,Maize,Pioneer-3396,Maturity,99,10.1,Alluvial,5.85,75,52,45,91.4,31.0,95.5,23.6,0.68,26.3,14.1,6.4,Excessive,0,1,Moderate,High,0.766,91.4,None,0.06,None,0.13,LOW,29.4,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09939,FIELD_078,2025-08-21,Madhya Pradesh,Sehore,Wheat,HD-2967 Prime,Heading,84,5.5,Clay Loam,6.78,65,35,88,80.4,23.4,90.1,43.4,0.96,21.7,9.8,6.2,Rainfed,0,1,None,High,0.424,32.3,Wheat Brown Rust,0.85,Aphids,0.73,HIGH,91.1,CRITICAL,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves Also Spray Thiamethoxam 25 WG @ 0.3g/L or 5% neem extract,synthetic_training_data
REC_01718,FIELD_072,2025-07-25,Madhya Pradesh,Khandwa,Onion,Pusa Red,Harvesting,135,13.3,Sandy Loam,7.24,88,52,59,90.3,16.3,92.1,27.8,0.74,16.5,6.1,2.1,Excessive,0,0,None,None,0.693,69.6,Onion Purple Blotch,0.5,None,0.13,LOW,32.8,MEDIUM,Spray Mancozeb 75 WP (2.5g/L) with agricultural sticker adjuvant,synthetic_training_data
REC_05203,FIELD_036,2025-06-29,Telangana,Khammam,Chili,Armoor,Harvesting,123,1.5,Red Sandy,6.06,77,38,60,75.1,21.8,69.9,0.0,0.26,22.5,1.8,11.0,Rainfed,1,0,High,Low,0.711,76.5,Chili Anthracnose,0.73,None,0.15,LOW,46.7,MEDIUM,Spray Azoxystrobin 23% SC or Difenoconazole; pick diseased pods,synthetic_training_data
REC_02179,FIELD_031,2026-06-19,West Bengal,Burdwan,Rice,Swarna Medium,Booting,88,14.6,Clay Loam,6.2,114,22,24,90.4,20.6,87.3,9.3,0.78,13.5,11.0,3.7,Excessive,0,0,Moderate,Moderate,0.622,74.7,Rice Blast,0.73,None,0.12,MEDIUM,39.3,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_03289,FIELD_023,2026-07-01,Tamil Nadu,Coimbatore,Groundnut,Kadiri-6,Vegetative,26,6.7,Red Sandy Loam,6.49,106,42,77,52.4,25.5,91.1,13.8,0.69,21.7,15.6,4.3,Deficit,0,0,Moderate,Moderate,0.685,81.5,Tikka Leaf Spot,0.79,None,0.08,LOW,49.3,MEDIUM,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation,synthetic_training_data
REC_07403,FIELD_013,2025-08-15,Haryana,Hisar,Wheat,HD-2967 Prime,Jointing,72,12.5,Clay Loam,6.67,71,47,31,69.0,27.3,56.5,2.0,0.42,6.6,1.2,7.8,Rainfed,0,1,Low,High,0.811,82.7,None,0.06,None,0.06,LOW,11.7,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_07346,FIELD_085,2025-06-30,Maharashtra,Nashik,Tomato,Vaibhav Fresh,Fruit Setting,74,3.4,Red Sandy,6.44,73,34,55,95.3,22.9,76.0,52.8,0.69,13.2,12.6,4.5,Deficit,0,0,Moderate,Low,0.501,66.6,Tomato Late Blight,0.78,None,0.19,HIGH,54.7,HIGH,Apply Metalaxyl + Mancozeb preventively; rogue out infected plants,synthetic_training_data
REC_02702,FIELD_014,2026-04-15,Uttar Pradesh,Meerut,Wheat,HD-2967 Prime,Tillering,43,8.0,Loam,6.32,87,53,80,84.9,22.6,47.3,4.0,0.53,8.7,0.3,8.7,Excessive,0,0,None,Low,0.74,81.9,None,0.1,None,0.05,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_06181,FIELD_025,2026-05-11,Telangana,Warangal,Rice,MTU-1010,Seedling,14,14.2,Clay Loam,6.87,59,51,73,80.0,34.7,75.2,25.3,0.86,20.8,15.4,3.1,Rainfed,0,0,None,None,0.713,75.3,Bacterial Leaf Blight,0.68,None,0.15,MEDIUM,41.7,MEDIUM,Apply Copper Oxychloride 50 WP with Streptomycin; ensure drainage,synthetic_training_data
REC_02230,FIELD_017,2025-11-29,Rajasthan,Kota,Wheat,HD-2967 Prime,Jointing,66,8.6,Clay Loam,6.9,87,21,15,83.5,12.9,96.9,26.0,0.84,10.5,13.6,6.3,Deficit,0,1,None,High,0.653,51.0,Wheat Yellow Rust,0.76,None,0.14,HIGH,64.7,HIGH,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
REC_03331,FIELD_091,2025-07-30,Punjab,Jalandhar,Sugarcane,CoM-0265,Germination,28,11.1,Alluvial Loam,7.46,104,38,42,52.2,26.1,63.2,2.3,0.4,5.6,3.4,8.1,Adequate,0,1,None,High,0.369,33.3,Sugarcane Smut,0.8,Termites,0.96,HIGH,84.3,CRITICAL,Remove and incinerate whips in plastic bags; dip setts in Propiconazole Also Apply Chlorpyrifos 20 EC or Fipronil 0.3% GR in furrow,synthetic_training_data
REC_02614,FIELD_073,2025-09-11,Punjab,Patiala,Wheat,HD-2967 Prime,Seedling,15,12.9,Loam,6.05,104,42,55,26.6,18.1,31.7,0.0,0.27,23.6,3.2,8.2,Deficit,0,1,Low,High,0.408,33.2,Wheat Powdery Mildew,0.66,Termites,0.85,HIGH,76.7,CRITICAL,Apply Wettable Sulfur (0.2%) or Hexaconazole 5 EC Also Apply Chlorpyrifos 20 EC or Fipronil 5 SC in irrigation furrow,synthetic_training_data
REC_09930,FIELD_012,2026-07-07,Bihar,Khagaria,Maize,Pioneer-3396,Grain Fill,88,1.3,Sandy Loam,6.55,78,53,44,55.6,27.7,58.9,1.1,0.53,8.9,0.8,10.3,Adequate,1,0,High,Low,0.673,79.6,Northern Corn Leaf Blight,0.7,None,0.04,MEDIUM,45.9,MEDIUM,Apply Azoxystrobin + Difenoconazole; avoid sprinkler irrigation,synthetic_training_data
REC_04752,FIELD_018,2025-09-24,Maharashtra,Kolhapur,Sugarcane,Co-86032 Sweet,Germination,39,6.8,Clay Loam,6.58,41,29,34,61.6,29.3,35.2,1.4,0.49,9.4,2.5,7.2,Deficit,0,1,Moderate,High,0.44,45.4,Sugarcane Smut,0.69,Termites,0.96,HIGH,83.4,CRITICAL,Remove and incinerate whips in plastic bags; dip setts in Propiconazole Also Apply Chlorpyrifos 20 EC or Fipronil 0.3% GR in furrow,synthetic_training_data
REC_06299,FIELD_003,2025-10-22,Punjab,Jalandhar,Potato,Kufri Jyoti,Tuber Bulking,60,9.6,Sandy Loam,7.58,100,47,71,88.9,25.8,91.2,31.9,0.56,16.3,9.8,6.5,Excessive,1,0,High,None,0.322,27.8,Potato Black Scurf,0.96,None,0.15,HIGH,77.9,CRITICAL,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
